Date,Open,High,Low,Volume,Close
10/6/1998,0.929167,0.935417,0.866667,563436000,0.902604
10/7/1998,0.855208,0.872917,0.760417,856680000,0.778646
10/8/1998,0.690625,0.733333,0.666667,607692000,0.718229
10/9/1998,0.752083,0.765625,0.697917,414540000,0.759896
10/12/1998,0.809375,0.841667,0.775,436344000,0.776563
10/13/1998,0.765104,0.794792,0.755208,213708000,0.761458
10/14/1998,0.758854,0.813542,0.747917,311808000,0.779167
10/15/1998,0.785417,0.815625,0.770833,339420000,0.808854
10/16/1998,0.821875,0.849479,0.808333,428100000,0.828646
10/19/1998,0.825,0.890625,0.825,333624000,0.88125
10/20/1998,0.90625,0.9375,0.888542,383352000,0.889583
10/21/1998,0.911979,0.91875,0.880208,252360000,0.916667
10/22/1998,0.896875,0.982292,0.894792,533904000,0.955729
10/23/1998,0.954167,0.985938,0.951042,272496000,0.967708
10/26/1998,0.992708,1.015625,0.972917,390336000,1.011979
10/27/1998,1.034375,1.05,0.967188,403284000,0.969271
10/28/1998,0.974479,0.995833,0.952083,397836000,0.975521
10/29/1998,1.010938,1.060417,0.991667,658644000,1.054167
10/30/1998,1.055208,1.081771,1.038542,423648000,1.053646
11/2/1998,1.067708,1.095313,1.0375,629880000,1.091667
11/3/1998,1.092708,1.108854,1.047917,367764000,1.050521
11/4/1998,1.094792,1.1,1.055208,407664000,1.081771
11/5/1998,1.064063,1.084375,1.052083,294648000,1.070833
11/6/1998,1.05,1.06875,1.033333,377880000,1.038021
11/9/1998,1.015625,1.061979,1.00625,436872000,1.057292
11/10/1998,1.06875,1.166667,1.067708,687516000,1.097917
11/11/1998,1.113542,1.11875,1.04375,329268000,1.055208
11/12/1998,1.045833,1.107292,1.041667,239496000,1.091667
11/13/1998,1.099479,1.1125,1.047656,178812000,1.064583
11/16/1998,1.070833,1.082292,1.029167,237948000,1.052083
11/17/1998,1.078125,1.285417,1.070833,1222836000,1.2375
11/18/1998,1.263542,1.421875,1.2625,1182672000,1.366667
11/19/1998,1.425,1.4625,1.275,777912000,1.277083
11/20/1998,1.458333,1.514583,1.375,1338252000,1.505208
11/23/1998,1.590625,1.820833,1.550521,1355628000,1.816667
11/24/1998,1.866667,1.942708,1.708333,1633512000,1.7875
11/25/1998,1.804167,1.8625,1.708333,550452000,1.752604
11/27/1998,1.810417,1.816667,1.775,191736000,1.805208
11/30/1998,1.830208,1.835417,1.597917,595044000,1.6
12/1/1998,1.545833,1.747917,1.516667,943092000,1.745833
12/2/1998,1.724479,1.729167,1.646354,592980000,1.6625
12/3/1998,1.659375,1.704167,1.541667,436728000,1.579167
12/4/1998,1.629167,1.641667,1.520833,445152000,1.570833
12/7/1998,1.608333,1.616667,1.542708,315480000,1.591667
12/8/1998,1.580208,1.715625,1.570833,510996000,1.700521
12/9/1998,1.711458,1.869271,1.683333,930132000,1.802083
12/10/1998,1.813542,1.866667,1.746875,607236000,1.776042
12/11/1998,1.750521,1.866667,1.75,509352000,1.858333
12/14/1998,1.842708,1.916667,1.816667,775020000,1.852083
12/15/1998,1.891667,2.025,1.879167,760308000,2.022917
12/16/1998,2.159375,2.514583,2.158333,2035944000,2.408333
12/17/1998,2.2,2.429167,2.171354,1352700000,2.30625
12/18/1998,2.358333,2.408333,2.315625,459036000,2.389063
12/21/1998,2.529167,2.68125,2.5,667680000,2.65625
12/22/1998,2.724479,2.741667,2.571875,635208000,2.686458
12/23/1998,2.733333,2.75,2.659375,291276000,2.708333
12/24/1998,2.685417,2.725,2.658333,108276000,2.706771
12/28/1998,2.758333,3.015625,2.708333,597972000,2.932813
12/29/1998,2.916667,2.917708,2.7375,492156000,2.769271
12/30/1998,2.775,2.860417,2.532292,651672000,2.677083
12/31/1998,2.64375,2.758333,2.634375,365964000,2.677083
1/4/1999,2.730729,2.966667,2.665625,785844000,2.957813
1/5/1999,2.739063,3.24375,2.6625,1257464000,3.1125
1/6/1999,3.409375,3.509375,3.35,723532000,3.45
1/7/1999,3.428125,4.00625,3.325,945492000,3.971875
1/8/1999,4.60625,4.978125,3.8,1333244000,4.00625
1/11/1999,4.6,4.625,4.190625,778460000,4.615625
1/12/1999,4.5125,4.55,3.975,488864000,4.084375
1/13/1999,3.125,4.0875,3.125,597528000,3.7
1/14/1999,3.75,3.98125,3.4,418248000,3.45
1/15/1999,3.5,3.751563,3.440625,402652000,3.509375
1/19/1999,3.7625,3.7625,3.40625,228108000,3.495313
1/20/1999,3.376563,3.425,2.74375,610704000,2.825
1/21/1999,2.6125,2.759375,2.314063,940964000,2.65
1/22/1999,2.4875,3.146875,2.46875,875316000,3.075
1/25/1999,3.0375,3.084375,2.75,546476000,2.809375
1/26/1999,2.815625,3.03125,2.765625,490696000,2.877344
1/27/1999,3.353125,3.49375,3,700452000,3.140625
1/28/1999,3.160938,3.21875,3.00625,475012000,3.071875
1/29/1999,3.040625,3.040625,2.875,327920000,2.923438
2/1/1999,2.94375,3.057813,2.875,255620000,2.896875
2/2/1999,2.909375,2.910938,2.7125,260972000,2.75625
2/3/1999,2.725,3.15,2.7125,375820000,3.14375
2/4/1999,3.13125,3.16875,2.90625,232992000,2.95
2/5/1999,2.925,3.071875,2.807813,171320000,2.896875
2/8/1999,2.859375,2.878125,2.64375,251964000,2.728125
2/9/1999,2.698438,2.7,2.498438,256520000,2.5
2/10/1999,2.45625,2.584375,2.375,264100000,2.435938
2/11/1999,2.5125,2.754688,2.4875,275860000,2.746875
2/12/1999,2.7,2.746875,2.590625,155308000,2.6125
2/16/1999,2.671875,2.7125,2.425,155596000,2.465625
2/17/1999,2.460938,2.551563,2.3125,193372000,2.3375
2/18/1999,2.4125,2.4125,2.10625,431252000,2.2375
2/19/1999,2.359375,2.5625,2.275,538364000,2.546875
2/22/1999,2.54375,2.740625,2.45,384244000,2.6625
2/23/1999,2.753125,2.925,2.7375,422784000,2.879688
2/24/1999,2.940625,3.054688,2.75625,495728000,2.773438
2/25/1999,2.915625,3.140625,2.865625,733796000,3.125
2/26/1999,3.16875,3.25,3.025,507308000,3.203125
3/1/1999,3.175,3.401563,3.1,387380000,3.325
3/2/1999,3.360938,3.39375,3.026563,332064000,3.032813
3/3/1999,3.09375,3.1875,3.00625,310576000,3.0875
3/4/1999,3.1375,3.175,2.896875,357748000,3.003125
3/5/1999,3.098438,3.1125,2.959375,243524000,3.0375
3/8/1999,3.035938,3.160938,2.98125,209252000,3.054688
3/9/1999,3.128125,3.33125,3.085938,325840000,3.248438
3/10/1999,3.41875,3.473438,3.35,282352000,3.428125
3/11/1999,3.49375,3.56875,3.275,325044000,3.371875
3/12/1999,3.35,3.384375,3.215625,186652000,3.332813
3/15/1999,3.325,3.475,3.275,140416000,3.473438
3/16/1999,3.475,3.509375,3.31875,150688000,3.345313
3/17/1999,3.282813,3.3375,3.20625,157348000,3.275
